timestamp,tweet_text,username,followers_count
2020-10-24 19:52:16,b'@republic nation is with Arnab. Entire media should keep their professional rivalry aside and stand by him. Show your maturity and professional brotherhood!!  #ndtv #IndiaToday #CNN #ABPnews #timesmirror  #aajtak R  u all listening?',b'Kbshah75Kalpana',243
2020-10-24 19:16:54,b'@republic @arnabofficial9 whole india is with you #RepublicFightsBack #prambirscam #ParamBirScam. Shame on Param bir. Beacuse of you mumbai police loosing thier dignity. And why #aajtak #IndiaToday and others not showing this story. Where is #IndiaTv Rajat Sharma..',b'ashishtweeting',37
2020-10-24 19:07:50,"b'#NSBA in action Time to say sorry  .... #aajtak  #News24  #ZeeNews  #IndiaTv  Bad taste though, but nevertheless'",b'SGUPTA38650189',19
2020-10-24 18:34:34,"b""From starting and at the end time the @TheOfficialSBI  executive told me your limit is 2 Lac but i got XX K. Now i am calling her from last 4 days but she did not accept my call What the hell, it's totally unacceptable,  Totally fraud @TheOfficialSBI #news #SBICard #fraud #aajtak""",b'saifinixdata',2
2020-10-24 18:32:05,"b'#StopFundingHate Where has real media gone from reporting to the death of #transitlabour #migrantworkers #labour #middleclass #covid_19 #coronavirus  #lockdownwithoutplan #bjpfails wake up #unemployed youth, #GDP no #development #ndtv #aajtak #news18 #indianews #republicbharat'",b'Abhi08763246',0
2020-10-24 18:26:13,"b'@OpIndia_com Now, Who was doing #FakeNews on #SSR ?\xf0\x9f\x91\x87  #PMModiJustice4SSR  #aajtak @BrarH3M #India #IndiaToday @SSRian4lif  @naturalphoton #Bollywood @_United4Justice #SSRians @LoverGirlSoul_ @rupali0023 #RheaChakraborty #RepublicTV #ArnabGoswami #ParamBirScam @ritumanik #CBITraceSSRKillers https://t.co/maHvrVt8JB'",b'bluetreelakes',134
2020-10-24 18:13:35,"b'#AajTak #IndiaToday found guilty of wrong reporting in #SSR case.  NBSA asked them to Air a public a apology on 27th Oct, 8:00PM.  And they have audacity to spread #FakeNews on #FakeCase with #ParamBirScam @republic https://t.co/Ec50xQb3vs'",b'CJ_India',504
2020-10-24 18:04:54,b'#NBSA orders #AajTak to #apologise live on October 27 for spreading fake news on Sushant Singh Rajput case https://t.co/NkSm0XidCn',b'GSFNetwork',7526
2020-10-24 17:20:25,b'@sardesairajdeep Yes sir this is right one.but I think u also work on it. @sardesairajdeep  #aajtak #indiatoday',b'MadhuSi77830966',35
2020-10-24 16:53:36,b'@ZeeNews @IndiaToday @aajtak @indiatvnews @TimesNow shame on you #IndiaToday #ZeeNews #aajtak #indianews #timesnow https://t.co/IpfyoTBsSK',b'vishal011278',120
2020-10-24 16:12:34,"b'NBSA Directs Aaj Tak, Zee News, News 24 &amp;amp; India TV to Air Apologies For Insensitive Reporting l SSR: SushantSinghRajput #SSR #AajTak #ZeeNews #News24 #IndiaTV #NDTV #RepublicTV #TRPScam #Arnab. https://t.co/Nr4tWpvxNR #RegionsIndia https://t.co/IayyoWwp6L'",b'Easy_Branches',51964
2020-10-24 16:07:58,"b""@Ranbir_Crpf #AmitShah #homeministry #CRPF #aajtak #ABPnews Respected sir, we are candidates of CAPF's #SSC_GD_2018 exam. We are waiting for final result. Please sir do something. I trust u sir will do something #SSC_GD_2018""",b'Sarbaji63449520',1
2020-10-24 16:03:54,"b""#AmitShah #homeministry #CRPF #aajtak #ABPnews Respected sir, we are candidates of CAPF's #SSC_GD_2018 exam. We are waiting for final result. Please sir do something. I trust u sir will do something #SSC_GD_2018""",b'Sarbaji63449520',1
2020-10-24 15:55:32,b'#aajtak #indiatoday la trouser kalating for being foot licking of #modi ji ... https://t.co/TJmWG6mLes',b'RC19Mithun',512
2020-10-24 15:07:34,"b""Today's newspaper release Dated 24-10-2020 for @OfficialGNIDA  #NewsAlert #aajtak  #GreaterNoida ##government #GNIDACares https://t.co/VYS0Idg2nQ""",b'OfficialGNIDA',18626
2020-10-24 15:04:55,"b'Called animal welfare west delhi department  and they said cow is infected with rabies,So they are waiting for her to die. Area is sealed. Please help Area - BG6 Post office, paschum vihar #animallovers #AnimalCruelty #AnimalsDeserveJustice #NDTV #aajtak #RepublicTV #cow #Help https://t.co/kqyPE8pnkl'",b'Yourdelhifriend',0
2020-10-24 15:04:22,"b""See how  #AajTak channel #distinguish between #RJD and #BJP_election_rallies This time it's #RJD who has #sponsored #AajTak https://t.co/NF9uix82dp""",b'ShivPra76206443',27
2020-10-24 14:43:05,b'Erdogan\xe2\x80\x99s Turkey sole supporter of Pak for removal from Grey List at FATF Paris Plenary #aamir_khan What you want say? #swamy39 #aajtak  #ABPnews  #TV9News  #RBharat  #indiatvlive https://t.co/IYEqDkfVrX',b'Hindiwood_',258
2020-10-24 14:38:08,"b""Today's newspaper release Dated 24-10-2020 for @OfficialGNIDA  #NewsAlert #aajtak  #GreaterNoida #respectwomen  #mahilashakti https://t.co/XvhwcgsfD2""",b'OfficialGNIDA',18626
2020-10-24 14:27:25,b'Will any action be taken against Butt on the basis of this?  #ZeeNews #aajtak #SoorajPancholi #Maharashtra #Bollywood #PMModiJustice4SSR #302B4Election4SSR #NarcoTest4SSRKillers https://t.co/jPDVRVwDmd',b'Chandni10001',32
2020-10-24 14:23:44,"b""What has AUT done in Maha that he's aspiring to be next CM? Nepotism product.  #ZeeNews #aajtak #SoorajPancholi #Maharashtra #Bollywood #PMModiJustice4SSR #302B4Election4SSR #NarcoTest4SSRKillers https://t.co/SADjFV84ux""",b'Chandni10001',32
